claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,linear,0.08,2718,axis_0,1.2,2812,32768,0.0858154296875,0.08280432544541222,0.08890018549099256,0.07782434558402673,0.007991084103473267,0.011075839906965826,0.7043436368996066,0.01572505141910513
4,iid,linear,0.08,2718,axis_3,0.45,8735,32768,0.266571044921875,0.26178914383628576,0.27139435458674094,0.26225914010653817,0.004311904815336831,0.009135214480202769,1.8782496983989507,0.004863684784823748
4,iid,linear,0.08,2718,axis_3,0.7,5571,32768,0.170013427734375,0.1659603043173737,0.17412513183868092,0.16109940308129078,0.008914024653084218,0.013025728757390137,1.2074462346850399,0.010787833348776706
4,iid,linear,0.08,2718,axis_3,0.95,3266,32768,0.09967041015625,0.0964472879315163,0.10296468968413776,0.08955459636336105,0.01011581379288895,0.013410093320776709,0.8896972255573977,0.015072648239827036
4,iid,linear,0.08,2718,axis_3,1.2,1820,32768,0.0555419921875,0.053086368246228095,0.05807676714168901,0.04484301088518228,0.010698981302317723,0.013233756256506732,0.7043436368996066,0.01878877803845767
4,iid,linear,0.08,2718,mean,0.45,8684,32768,0.2650146484375,0.26024181918817524,0.2698291626865213,0.26246134653937636,0.002553301898123639,0.007367816147144934,1.8782496983989507,0.0039227032238713395
4,iid,linear,0.08,2718,mean,0.7,5511,32768,0.168182373046875,0.1641469129569509,0.17227674013711508,0.16133541967928666,0.006846953367588338,0.010941320457828418,1.2074462346850399,0.00906153843005891
4,iid,linear,0.08,2718,mean,0.95,3141,32768,0.095855712890625,0.09268886989184671,0.09909439902436917,0.0897667235307733,0.006088989359851693,0.009327675493595866,0.8896972255573977,0.010484100911691673
4,iid,linear,0.08,2718,mean,1.2,1688,32768,0.051513671875,0.04914493823369284,0.05396229713613907,0.044999631262410245,0.006514040612589755,0.008962665873728827,0.7043436368996066,0.012724848219231259
4,iid,linear,0.08,2718,alternating,0.45,8765,32768,0.267486572265625,0.2626993702626693,0.27231502025147775,0.26246134653937636,0.005025225726248639,0.009853673712101385,1.8782496983989507,0.005246200076859222
4,iid,linear,0.08,2718,alternating,0.7,5460,32768,0.1666259765625,0.1626056665815119,0.1707054709392919,0.16133541967928666,0.005290556883213338,0.00937005126000523,1.2074462346850399,0.007760222352632861
4,iid,linear,0.08,2718,alternating,0.95,3060,32768,0.0933837890625,0.09025423446461825,0.09658563156021649,0.0897667235307733,0.003617065531726693,0.0068189080294431825,0.8896972255573977,0.007664301779935436
4,iid,linear,0.08,2718,alternating,1.2,1598,32768,0.04876708984375,0.046459907384689664,0.05115467078979092,0.044999631262410245,0.0037674585813397554,0.006155039527380675,0.7043436368996066,0.008738688340359043
4,iid,contractive,0.08,2718,axis_0,0.45,9388,32768,0.2864990234375,0.28160753009108314,0.2914283867845386,0.2846068247368555,0.0018921987006444985,0.006821562047683083,1.8782496983989507,0.0036318717652386095
4,iid,contractive,0.08,2718,axis_0,0.7,6398,32768,0.19525146484375,0.19097145118296516,0.1995855648490437,0.18796029127403735,0.00729117356971265,0.01162527357500634,1.2074462346850399,0.009627984452689748
4,iid,contractive,0.08,2718,axis_0,0.95,4007,32768,0.122283935546875,0.11875507364288986,0.12587989977852052,0.11474657436629188,0.007537361180583124,0.01113332541222864,0.8896972255573977,0.01251361147636892
4,iid,contractive,0.08,2718,axis_0,1.2,2370,32768,0.07232666015625,0.06954480723110158,0.0751846040386642,0.06452065254973405,0.007806007606515952,0.010663951488930151,0.7043436368996066,0.015140268088274268
4,iid,contractive,0.08,2718,axis_3,0.45,10083,32768,0.307708740234375,0.3027133792213173,0.31273820629003574,0.3099910034093183,0.0022822631749432887,0.007277624188000986,1.8782496983989507,0.0038746840711352416
4,iid,contractive,0.08,2718,axis_3,0.7,7234,32768,0.22076416015625,0.21628302142428552,0.22529484700780997,0.2202460684564681,0.0005180916997818974,0.005048778551341865,1.2074462346850399,0.00418136924552904
4,iid,contractive,0.08,2718,axis_3,0.95,4898,32768,0.14947509765625,0.14563046377639785,0.15338197471386303,0.14758461028838432,0.0018904873678656786,0.005797364425478707,0.8896972255573977,0.006516109367258781
4,iid,contractive,0.08,2718,axis_3,1.2,3154,32768,0.09625244140625,0.0930796748147021,0.09949697977681644,0.09302821225967983,0.003224229146570168,0.006468767517136612,0.7043436368996066,0.00918410727129013
4,iid,contractive,0.08,2718,mean,0.45,10251,32768,0.312835693359375,0.30781711193411637,0.31788746989817623,0.3207645286368521,0.00792883527747712,0.012947416702735748,1.8782496983989507,0.006893341558245598
4,iid,contractive,0.08,2718,mean,0.7,7400,32768,0.225830078125,0.22131204720941142,0.23039675650281494,0.23446916634829895,0.008639088223298952,0.013157119138887535,1.2074462346850399,0.010896650104109642
4,iid,contractive,0.08,2718,mean,0.95,5201,32768,0.158721923828125,0.15478053915303633,0.1627239020748985,0.16283987544579825,0.0041179516176732545,0.008059336292761926,0.8896972255573977,0.009058515707647319
4,iid,contractive,0.08,2718,mean,1.2,3360,32768,0.1025390625,0.09927458799215688,0.10587417896055824,0.10721080139375283,0.00467173889375283,0.007936213401595948,0.7043436368996066,0.011267530486297464
4,iid,contractive,0.08,2718,alternating,0.45,10400,32768,0.3173828125,0.31234423441305137,0.32245377872761344,0.3207645286368521,0.00338171613685212,0.00842029422380075,1.8782496983989507,0.0044830536807637135
4,iid,contractive,0.08,2718,alternating,0.7,7489,32768,0.228546142578125,0.2240087249066621,0.23313172488571482,0.23446916634829895,0.005923023770173952,0.010460441441636853,1.2074462346850399,0.008663277205353528
