claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
5,markov,sgd,0.08,2718,axis_3,0.7,8691,32768,0.265228271484375,0.260454192574755,0.2700439974531385,0.2774149081187677,0.012186636634392678,0.016960715544012683,1.2074462346850399,0.014046766685588161
5,markov,sgd,0.08,2718,axis_3,0.95,6889,32768,0.210235595703125,0.20583427369327031,0.2146883381519887,0.21143708379782966,0.0012014880947046613,0.005602810104559347,0.8896972255573977,0.006297434614398366
5,markov,sgd,0.08,2718,axis_3,1.2,5263,32768,0.160614013671875,0.15665342781644961,0.164634855697454,0.15568504022228957,0.004928973449585428,0.008949815475164435,0.7043436368996066,0.01270660371769653
5,markov,sgd,0.08,2718,mean,0.45,11096,32768,0.338623046875,0.33349831439223987,0.3437763985507508,0.35185295863554567,0.013229911760545665,0.018354644243305795,1.8782496983989507,0.009772206676754203
5,markov,sgd,0.08,2718,mean,0.7,8586,32768,0.26202392578125,0.25726874315764237,0.2668213245890315,0.27705487468688905,0.015030948905639052,0.019786131529246687,1.2074462346850399,0.01638675989114154
5,markov,sgd,0.08,2718,mean,0.95,6502,32768,0.19842529296875,0.19411879748920194,0.20278530998696684,0.21101528766159028,0.012589994692840278,0.01689649017238834,0.8896972255573977,0.018991281176360467
5,markov,sgd,0.08,2718,mean,1.2,4804,32768,0.1466064453125,0.1427928467318109,0.15048279908182727,0.15524515316610832,0.008638707853608318,0.012452306434297428,0.7043436368996066,0.01767930564278288
5,markov,sgd,0.08,2718,alternating,0.45,11239,32768,0.342987060546875,0.33784607193383365,0.3481558940850204,0.35185295863554567,0.008865898088670665,0.014006886701712018,1.8782496983989507,0.00745741458851382
5,markov,sgd,0.08,2718,alternating,0.7,8760,32768,0.267333984375,0.26254766403940316,0.27216157779269395,0.27705487468688905,0.009720890311889052,0.01450721064748589,1.2074462346850399,0.012014788096357823
5,markov,sgd,0.08,2718,alternating,0.95,6608,32768,0.20166015625,0.197327111982123,0.20604614646548886,0.21101528766159028,0.009355131411590278,0.013688175679467285,0.8896972255573977,0.015385206659368423
5,markov,sgd,0.08,2718,alternating,1.2,4811,32768,0.146820068359375,0.14300414144280996,0.15069871233172272,0.15524515316610832,0.008425084806733318,0.012241011723298362,0.7043436368996066,0.017379317540485044
5,markov,linear,0.08,2718,axis_0,0.45,11822,32768,0.36077880859375,0.35557648746393394,0.36600581832166496,0.38709788713505733,0.026319078541307328,0.031521399671123385,1.8782496983989507,0.016782326491516394
5,markov,linear,0.08,2718,axis_0,0.7,10134,32768,0.30926513671875,0.3042626506135713,0.3143014516319027,0.3276993408271379,0.01843420410838792,0.023436690213566647,1.2074462346850399,0.019410131515860053
5,markov,linear,0.08,2718,axis_0,0.95,8495,32768,0.259246826171875,0.2545082845846958,0.2640280772145544,0.2723706743188794,0.013123848147004402,0.01786238973418358,0.8896972255573977,0.02007693091657417
5,markov,linear,0.08,2718,axis_0,1.2,7040,32768,0.21484375,0.21040696187553054,0.2193311390028106,0.22212306122319458,0.0072793112231945845,0.011716099347664044,0.7043436368996066,0.016634067142618336
5,markov,linear,0.08,2718,axis_3,0.45,11243,32768,0.343109130859375,0.3379676944781507,0.3482783905083083,0.365836716895382,0.022727586036006997,0.02786902241723127,1.8782496983989507,0.01483776222138476
5,markov,linear,0.08,2718,axis_3,0.7,9262,32768,0.28265380859375,0.2777825324368842,0.2875636374463098,0.29687817417562234,0.014224365581872345,0.019095641738738123,1.2074462346850399,0.015814900233399782
5,markov,linear,0.08,2718,axis_3,0.95,7493,32768,0.228668212890625,0.22412993026318362,0.23325463845504057,0.2345633427670446,0.0058951298764196025,0.010433412503860984,0.8896972255573977,0.01172692485055736
5,markov,linear,0.08,2718,axis_3,1.2,6014,32768,0.18353271484375,0.1793543380075547,0.18776726415796477,0.18025311076634265,0.00327960407740735,0.007514153391622119,0.7043436368996066,0.010668305920527749
5,markov,linear,0.08,2718,mean,0.45,11502,32768,0.35101318359375,0.34584355233595754,0.3562092358525199,0.3659624897329099,0.014949306139159901,0.020118937396952363,1.8782496983989507,0.010711535007353952
5,markov,linear,0.08,2718,mean,0.7,9280,32768,0.283203125,0.2783289339612768,0.2881157712039647,0.2970581682216714,0.013855043221671415,0.018729234260394634,1.2074462346850399,0.01551144367540317
5,markov,linear,0.08,2718,mean,0.95,7262,32768,0.22161865234375,0.21713122322080378,0.22615547765830898,0.23478007531485945,0.013161422971109449,0.017648852094055673,0.8896972255573977,0.01983691933286475
5,markov,linear,0.08,2718,mean,1.2,5584,32768,0.17041015625,0.16635322842138092,0.17452559406961377,0.1804873593037899,0.010077203053789896,0.014134130882408974,0.7043436368996066,0.020067095295451046
5,markov,linear,0.08,2718,alternating,0.45,11696,32768,0.35693359375,0.35174386371554206,0.36214869450014353,0.3659624897329099,0.009028895982909901,0.014218626017367841,1.8782496983989507,0.007570146839096005
5,markov,linear,0.08,2718,alternating,0.7,9411,32768,0.287200927734375,0.2823057908396735,0.2921338100152556,0.2970581682216714,0.009857240487296415,0.014752377381997916,1.2074462346850399,0.012217833770334335
5,markov,linear,0.08,2718,alternating,0.95,7383,32768,0.225311279296875,0.22079698243374413,0.22987431585184676,0.23478007531485945,0.009468796017984449,0.013983092881115322,0.8896972255573977,0.015716687069980327
5,markov,linear,0.08,2718,alternating,1.2,5659,32768,0.172698974609375,0.16862025407406467,0.1768357973052897,0.1804873593037899,0.007788384694414896,0.011867105229725228,0.7043436368996066,0.016848459484864634
5,markov,contractive,0.08,2718,axis_0,0.45,11532,32768,0.3519287109375,0.34675591483829676,0.3571277656191028,0.37953609687796397,0.02760738594046397,0.032780182039667205,1.8782496983989507,0.01745251553486714
5,markov,contractive,0.08,2718,axis_0,0.7,9719,32768,0.296600341796875,0.29165778806278236,0.30157897229507646,0.3166497507581355,0.020049408961260506,0.024991962695353143,1.2074462346850399,0.020698199205426527
5,markov,contractive,0.08,2718,axis_0,0.95,8027,32768,0.244964599609375,0.2403156175681473,0.2496588283968359,0.25866180238214476,0.013697202772769757,0.018346184813997468,0.8896972255573977,0.02062070588396354
5,markov,contractive,0.08,2718,axis_0,1.2,6515,32768,0.198822021484375,0.19451224616149485,0.2031852477504797,0.20671712695869493,0.00789510547431993,0.012204880797200085,0.7043436368996066,0.017328020241545398
