claim,noise,model,alpha,seed,direction,threshold,empirical_tail,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,linear,0.02,1729,mean,1.2,0.04595947265625,0.044999631262410245,0.0009598413938397554,0.003227105090764352,0.6198362233615538,0.005206383507667257
4,iid,linear,0.02,1729,alternating,0.45,0.2652587890625,0.26246134653937636,0.002797442523123639,0.007577500840169703,1.6528965956308097,0.004584376820788256
4,iid,linear,0.02,1729,alternating,0.7,0.162750244140625,0.16133541967928666,0.0014148244613383376,0.005411689124983552,1.0625763829055206,0.005092988336693283
4,iid,linear,0.02,1729,alternating,0.95,0.09136962890625,0.0897667235307733,0.001602905375476693,0.004722697510880904,0.7829510189830152,0.006031919489695887
4,iid,linear,0.02,1729,alternating,1.2,0.04583740234375,0.044999631262410245,0.0008377710813397554,0.0031021666537086458,0.6198362233615538,0.005004816654445727
4,iid,contractive,0.02,1729,axis_0,0.45,0.283416748046875,0.2846068247368555,0.0011900766899805015,0.006069597628696208,1.6528965956308097,0.0036720976041334356
4,iid,contractive,0.02,1729,axis_0,0.7,0.19024658203125,0.18796029127403735,0.00228629075721265,0.006536065687811464,1.0625763829055206,0.006151149030754075
4,iid,contractive,0.02,1729,axis_0,0.95,0.117889404296875,0.11474657436629188,0.003142829930583124,0.00663447435043581,0.7829510189830152,0.008473677394345066
4,iid,contractive,0.02,1729,axis_0,1.2,0.067657470703125,0.06452065254973405,0.0031368181533909523,0.00585624092938218,0.6198362233615538,0.00944804564280233
4,iid,contractive,0.02,1729,axis_3,0.45,0.302276611328125,0.3099910034093183,0.007714392081193289,0.012686894659998305,1.6528965956308097,0.007675552538213373
4,iid,contractive,0.02,1729,axis_3,0.7,0.217529296875,0.2202460684564681,0.0027167715814681026,0.007183854611925229,1.0625763829055206,0.006760788897153556
4,iid,contractive,0.02,1729,axis_3,0.95,0.14617919921875,0.14758461028838432,0.0014054110696343214,0.0052306384748163955,0.7829510189830152,0.006680671393225258
4,iid,contractive,0.02,1729,axis_3,1.2,0.09405517578125,0.09302821225967983,0.0010269635215701678,0.004187591117411727,0.6198362233615538,0.006755963849129681
4,iid,contractive,0.02,1729,mean,0.45,0.310455322265625,0.3207645286368521,0.01030920637122712,0.015318908038861333,1.6528965956308097,0.009267916746488936
4,iid,contractive,0.02,1729,mean,0.7,0.22491455078125,0.23446916634829895,0.009554615567048952,0.014075409092176114,1.0625763829055206,0.013246491563917655
4,iid,contractive,0.02,1729,mean,0.95,0.154327392578125,0.16283987544579825,0.008512482867673254,0.012424076630006805,0.7829510189830152,0.015868268038203195
4,iid,contractive,0.02,1729,mean,1.2,0.1031494140625,0.10721080139375283,0.00406138733125283,0.007354636073582665,0.6198362233615538,0.011865450576115598
4,iid,contractive,0.02,1729,alternating,0.45,0.319915771484375,0.3207645286368521,0.0008487571524771198,0.005899209537876993,1.6528965956308097,0.00356901306075086
4,iid,contractive,0.02,1729,alternating,0.7,0.231475830078125,0.23446916634829895,0.002993336270173952,0.007560143650293011,1.0625763829055206,0.007114917827949903
4,iid,contractive,0.02,1729,alternating,0.95,0.15875244140625,0.16283987544579825,0.0040874340395482545,0.008044317129154124,0.7829510189830152,0.010274355526866785
